Bush (123 , 123)   -- test!
Bush (1614 , 2373)   -- start 1
Bush (6613 , 2337)   -- start 2
Bush (4113 , 6746)   -- start 3
Bush (1807 , 1421)   -- minerals 1
Bush (1927 , 1471)   -- 
Bush (2035 , 1548)   -- 
Bush (797 , 2979)   -- 
Bush (975 , 3106)   -- 
Bush (1150 , 3195)   -- 
Bush (6091 , 1584)   -- minerals 2
Bush (6256 , 1474)   -- 
Bush (6439 , 1409)   -- 
Bush (7173 , 3182)   -- 
Bush (7328 , 3050)   -- 
Bush (7498 , 2850)   -- 
Bush (3123 , 6763)   -- minerals 3
Bush (3117 , 6937)   -- 
Bush (3135 , 6563)   -- 
Bush (5065 , 6673)   -- 
Bush (5055 , 6848)   -- 
Bush (5012 , 7061)   -- 
Bush (4413 , 4004)   -- minerals middle
Bush (4513 , 4048)   -- 
Bush (4638 , 4109)   -- 
Bush (4771 , 4164)   -- 
Bush (3932 , 3969)   -- 
Bush (3797 , 4019)   -- 
Bush (3637 , 4106)   -- 
Bush (3488 , 4191)   -- 
Bush (4114 , 3461)   -- 
Bush (4122 , 3294)   -- 
Bush (4118 , 3139)   -- 
Bush (4133 , 3005)   -- 
Bush (4124 , 3864)   -- trees middle
Bush (3594 , 4506)   -- 
Bush (3792 , 4331)   -- 
Bush (3714 , 4465)   -- 
Bush (3612 , 4326)   -- 
Bush (4625 , 4676)   -- 
Bush (4593 , 4524)   -- 
Bush (4754 , 4442)   -- 
Bush (4261 , 4719)   -- 
Bush (5057 , 3961)   -- 
Bush (4827 , 3932)   -- 
Bush (4983 , 3887)   -- 
Bush (4920 , 4059)   -- 
Bush (4515 , 3067)   -- 
Bush (4437 , 3142)   -- 
Bush (4535 , 3273)   -- 
Bush (4732 , 3221)   -- 
Bush (3866 , 3072)   -- 
Bush (3895 , 3190)   -- 
Bush (3983 , 3072)   -- 
Bush (2962 , 3182)   -- grass
Bush (3041 , 3095)   -- 
Bush (3127 , 3171)   -- 
Bush (3049 , 3317)   -- 
Bush (3029 , 3204)   -- 
Bush (2831 , 3040)   -- 
Bush (5275 , 3187)   -- 
Bush (5197 , 3143)   -- 
Bush (5348 , 3050)   -- 
Bush (5108 , 3254)   -- 
Bush (5198 , 3320)   -- 
Bush (4190 , 5171)   -- 
Bush (4146 , 4988)   -- 
Bush (4048 , 5160)   -- 
Bush (4161 , 5235)   -- 
Bush (3981 , 5034)   -- 
Bush (3961 , 5238)   -- 
Bush (3574 , 6772)   -- trees or grass in start areas
Bush (3644 , 6486)   -- 
Bush (3706 , 6633)   -- 
Bush (3424 , 6579)   -- 
Bush (4041 , 7396)   -- 
Bush (4133 , 7269)   -- 
Bush (4744 , 6919)   -- 
Bush (4633 , 6786)   -- 
Bush (1106 , 2691)   -- 
Bush (1243 , 2761)   -- 
Bush (1215 , 2546)   -- 
Bush (1917 , 1897)   -- 
Bush (1851 , 1786)   -- 
Bush (2086 , 2735)   -- 
Bush (7223 , 2655)   -- 
Bush (7101 , 2792)   -- 
Bush (7249 , 2851)   -- 
Bush (6434 , 1752)   -- 
Bush (6268 , 1941)   -- 
Bush (6600 , 1953)   -- 
Bush (5454 , 2643)   -- 
Bush (5385 , 2781)   -- 
Bush (5456 , 2877)   -- 
Bush (5511 , 2765)   -- 
Bush (5303 , 2742)   -- 
