Bush (123 , 123)   -- test!
Bush (1453 , 984)   -- s1
Bush (4285 , 1008)   -- s2
Bush (7137 , 1153)   -- s3
Bush (7334 , 4352)   -- s4
Bush (6759 , 7206)   -- s5
Bush (3714 , 7135)   -- s6
Bush (1167 , 7029)   -- s7
Bush (874 , 3057)   -- s8
Bush (495 , 548)   -- 1
Bush (561 , 432)   -- 
Bush (659 , 290)   -- 
Bush (455 , 679)   -- 
Bush (434 , 1210)   -- 
Bush (3458 , 313)   -- 2
Bush (3340 , 428)   -- 
Bush (3277 , 570)   -- 
Bush (5072 , 331)   -- 
Bush (5175 , 503)   -- 
Bush (7674 , 302)   -- 3
Bush (7811 , 382)   -- 
Bush (7938 , 491)   -- 
Bush (7998 , 1712)   -- 
Bush (7882 , 1860)   -- 
Bush (7708 , 3348)   -- 4
Bush (7565 , 3299)   -- 
Bush (7411 , 3293)   -- 
Bush (7884 , 5182)   -- 
Bush (7757 , 5286)   -- 
Bush (7737 , 6969)   -- 5
Bush (7760 , 7088)   -- 
Bush (7770 , 7291)   -- 
Bush (7674 , 7606)   -- 
Bush (7558 , 7814)   -- 
Bush (4715 , 7450)   -- 6
Bush (4638 , 7610)   -- 
Bush (4511 , 7778)   -- 
Bush (3112 , 8029)   -- 
Bush (3254 , 8072)   -- 
Bush (1746 , 7853)   -- 7
Bush (1244 , 8037)   -- 
Bush (807 , 7986)   -- 
Bush (545 , 7856)   -- 
Bush (309 , 7609)   -- 
Bush (207 , 3890)   -- 8
Bush (338 , 3969)   -- 
Bush (1938 , 3096)   -- 
Bush (493 , 4041)   -- 
Bush (954 , 4116)   -- 
Bush (2967 , 1601)   -- 1+2
Bush (2800 , 1319)   -- 
Bush (2594 , 1256)   -- 
Bush (3016 , 2106)   -- 
Bush (2932 , 2243)   -- 
Bush (2381 , 1304)   -- 
Bush (5953 , 2657)   -- e3
Bush (5816 , 2779)   -- 
Bush (5746 , 2999)   -- 
Bush (5737 , 3212)   -- 
Bush (5630 , 3436)   -- 
Bush (5459 , 3618)   -- 
Bush (5129 , 5524)   -- e5
Bush (5074 , 5640)   -- 
Bush (5288 , 5604)   -- 
Bush (5196 , 5348)   -- 
Bush (4977 , 5460)   -- 
Bush (4879 , 5644)   -- 
Bush (3170 , 5199)   -- e6
Bush (3302 , 5305)   -- 
Bush (3527 , 5332)   -- 
Bush (3180 , 4970)   -- 
Bush (2639 , 5624)   -- 
Bush (2799 , 5756)   -- 
Bush (1221 , 5349)   -- e7
Bush (1195 , 5503)   -- 
Bush (1144 , 5700)   -- 
Bush (1898 , 5357)   -- 
Bush (1914 , 5566)   -- 
Bush (1369 , 5204)   -- 
Bush (2712 , 3970)   -- e8
Bush (2682 , 4084)   -- 
Bush (2626 , 4173)   -- 
Bush (2514 , 4265)   -- 
Bush (2342 , 4285)   -- 
Bush (2451 , 4125)   -- 
Bush (4234 , 3771)   -- oil middle
